                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.56896,                0.39897,                0.92876,                0.93109,                0.87879,                0.90511,                0.42874,                      0,                    inf,                      0,               0.001387,               0.001387,               0.001387
                     89,                0.55568,                0.40078,                 0.9272,                0.93644,                0.84848,                0.90086,                0.44461,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     90,                 0.4894,                0.33412,                0.87893,                0.85243,                0.87879,                0.84604,                0.42379,                      0,                    inf,                      0,               0.001189,               0.001189,               0.001189
                     91,                0.47183,                0.32366,                0.86884,                0.90869,                0.90483,                0.89757,                0.41732,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     92,                0.45538,                0.32102,                0.85685,                 0.9354,                0.87764,                0.90333,                0.41605,                      0,                    inf,                      0,               0.000991,               0.000991,               0.000991
                     93,                0.44364,                0.32005,                0.86546,                0.93449,                0.86471,                0.90137,                0.42031,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     94,                0.42862,                0.30734,                0.86449,                0.95014,                0.87879,                0.90297,                0.41687,                      0,                    inf,                      0,               0.000793,               0.000793,               0.000793
                     95,                0.43323,                0.30475,                0.86212,                0.92652,                0.87879,                 0.9026,                0.43748,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     96,                0.41449,                0.29861,                0.85294,                 0.9345,                0.87879,                0.90576,                0.45314,                      0,                    inf,                      0,               0.000595,               0.000595,               0.000595
                     97,                0.41853,                0.30451,                0.84892,                0.92283,                0.87879,                0.90653,                0.46068,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
                     98,                 0.4228,                0.30583,                0.85077,                0.92616,                0.87879,                0.90953,                0.44734,                      0,                    inf,                      0,               0.000397,               0.000397,               0.000397
                     99,                0.39551,                0.29203,                0.84918,                 0.9046,                0.87879,                0.90162,                0.44844,                      0,                    inf,                      0,               0.000298,               0.000298,               0.000298
